"class_name","class_rating","professor_name","overall","easiness","workload","clarity","helpfulness"
"AN N EA M110A","N/A","M Shayegan","N/A","N/A","N/A","N/A","N/A"
"AN N EA M110B","N/A","M Shayegan","N/A","N/A","N/A","N/A","N/A"
"AN N EA M130","N/A","Roselyn Campbell","N/A","N/A","N/A","N/A","N/A"
"AN N EA M130","N/A","Jacco Dieleman","N/A","N/A","N/A","N/A","N/A"
"AN N EA M130","N/A","Rachel Moy","N/A","N/A","N/A","N/A","N/A"
"AN N EA M130","N/A","Bethany Simpson","N/A","N/A","N/A","N/A","N/A"
"AN N EA M130","N/A","Marissa Stevens","N/A","N/A","N/A","N/A","N/A"
"AN N EA M130","N/A","Angela Susak","N/A","N/A","N/A","N/A","N/A"
"AN N EA M135","N/A","Jeremy Smoak","N/A","N/A","N/A","N/A","N/A"
"AN N EA M185D","N/A","Barbara Cifola","N/A","N/A","N/A","N/A","N/A"
"AN N EA M185D","N/A","M Suriano","N/A","N/A","N/A","N/A","N/A"
"AN N EA M50B","N/A","Peter Lanfer","N/A","N/A","N/A","N/A","N/A"
"ANTHRO 191HA","5.0","Linda Garro","N/A","N/A","N/A","N/A","N/A"
"ANTHRO 191HA","5.0","Tritia Toyota","5.0","3.0","2.0","4.0","5.0"
"ANTHRO M186","5.0","Dario Nardi","5.0","2.0","2.5","3.5","4.2"
"ANTHRO M116S","4.7","Min Li","4.7","1.7","1.3","3.9","4.7"
"ANTHRO M134","4.6","Dario Nardi","4.6","2.4","2.6","3.7","4.0"
"ANTHRO M134","4.6","M Vernon","N/A","N/A","N/A","N/A","N/A"
"ANTHRO 114Q","4.5","Sam Connell","4.5","1.5","1.7","4.0","4.0"
"ANTHRO 135T","4.5","Douglas Hollan","4.5","2.5","2.5","4.0","4.5"
"ANTHRO 495","4.5","Dario Nardi","4.5","2.3","2.5","3.8","4.3"
"ANTHRO 112","4.4","P. Brantingham","4.4","2.6","2.4","4.4","4.4"
"ANTHRO 113Q","4.4","Jeanne Arnold","4.2","3.2","2.5","4.2","4.2"
"ANTHRO 113Q","4.4","Julienne Bernard","4.6","2.0","2.0","4.1","4.7"
"ANTHRO 113Q","4.4","Kathleen Cheetham","N/A","N/A","N/A","N/A","N/A"
"ANTHRO 113Q","4.4","Terisa Green","4.2","2.5","2.7","3.3","4.5"
"ANTHRO 113Q","4.4","Wendy Teeter","N/A","N/A","N/A","N/A","N/A"
"ANTHRO 116","4.2","P. Brantingham","4.8","2.6","2.8","5.0","4.4"
"ANTHRO 116","4.2","Min Li","4.7","1.5","1.8","4.2","4.8"
"ANTHRO 116","4.2","Monica Smith","3.4","1.4","1.1","3.6","3.3"
"ANTHRO 191","3.9","Angeline Gunawardena","3.5","2.7","2.3","4.3","4.2"
"ANTHRO 191","3.9","S Pelka","4.6","2.1","2.1","4.9","3.7"
"ANTHRO 191","3.9","Mariko Tamanoi","3.6","1.4","1.8","3.4","3.0"
"ANTHRO 110P","3.8","P. Brantingham","4.1","2.4","2.4","4.4","4.4"
"ANTHRO 110P","3.8","Greg Schachner","3.2","3.0","2.5","3.5","3.5"
"ANTHRO 182","3.8","Sharman Babior","3.8","2.5","2.5","4.0","4.5"
"ANTHRO 182","3.8","L Miyake","N/A","N/A","N/A","N/A","N/A"
"ANTHRO 182","3.8","Mariko Tamanoi","3.9","1.3","1.4","3.6","3.7"
"ANTHRO 599","3.8","Angeline Gunawardena","3.8","2.5","2.8","3.2","4.2"
"ANTHRO 9","3.8","Sharman Babior","3.9","2.4","2.6","3.7","4.9"
"ANTHRO 9","3.8","Sharon Bays","3.5","2.2","2.5","3.5","3.2"
"ANTHRO 9","3.8","Niko Besnier","3.9","2.6","2.7","3.3","2.7"
"ANTHRO 9","3.8","Karen Brodkin","3.2","2.4","2.0","2.4","3.2"
"ANTHRO 9","3.8","Jessica Cattelino","4.1","2.6","2.4","4.1","4.4"
"ANTHRO 9","3.8","Douglas Hollan","4.4","2.0","2.4","5.0","4.4"
"ANTHRO 9","3.8","Orna Johnson","3.2","3.2","2.0","2.8","3.5"
"ANTHRO 9","3.8","Nancy Levine","3.4","2.4","2.7","3.6","3.4"
"ANTHRO 9","3.8","Maureen Mahon","4.5","2.2","2.3","4.0","4.2"
"ANTHRO 9","3.8","S Pelka","4.8","2.2","2.5","4.8","4.2"
"ANTHRO M158Q","3.8","Jared Diamond","3.8","2.2","2.0","4.8","3.5"
"ANTHRO 114L","3.7","Abigail Levine","N/A","N/A","N/A","N/A","N/A"
"ANTHRO 114L","3.7","Charles Stanish","3.7","1.9","1.4","3.1","3.3"
"ANTHRO 128A","3.7","Susan Perry","3.5","2.2","2.3","3.7","3.7"
"ANTHRO 128A","3.7","Joan Silk","4.0","1.2","1.2","3.2","3.2"
"ANTHRO 135A","3.7","Kevin Groark","N/A","N/A","N/A","N/A","N/A"
"ANTHRO 135A","3.7","Robert Lemelson","4.6","2.4","2.1","4.7","4.7"
"ANTHRO 135A","3.7","Louise Tallen","2.5","1.2","1.5","3.2","2.5"
"ANTHRO 135A","3.7","C Throop","3.6","3.3","3.7","3.6","3.4"
"ANTHRO 175R","3.7","Nancy Levine","3.7","2.7","2.5","3.5","3.3"
"ANTHRO M154Q","3.7","Angeline Gunawardena","3.7","2.3","2.6","3.6","4.9"
"ANTHRO M154Q","3.7","K Sirota","N/A","N/A","N/A","N/A","N/A"
"ANTHRO M154Q","3.7","M Vernon","N/A","N/A","N/A","N/A","N/A"
"ANTHRO 114R","3.6","Christopher Donnan","3.6","1.6","1.4","3.2","3.6"
"ANTHRO 114R","3.6","Abigail Levine","N/A","N/A","N/A","N/A","N/A"
"ANTHRO 114R","3.6","Charles Stanish","5.0","2.0","2.0","4.0","5.0"
"ANTHRO 114R","3.6","Alexei Vranich","3.4","2.4","2.4","3.4","4.8"
"ANTHRO 135B","3.6","Alan Fiske","3.6","1.4","1.8","4.0","3.6"
"ANTHRO 157","3.6","Aomar Boum","N/A","N/A","N/A","N/A","N/A"
"ANTHRO 157","3.6","P. Brantingham","3.0","3.0","4.0","5.0","4.0"
"ANTHRO 157","3.6","Jessica Cattelino","N/A","N/A","N/A","N/A","N/A"
"ANTHRO 157","3.6","Hannah Conrad","N/A","N/A","N/A","N/A","N/A"
"ANTHRO 157","3.6","Alan Fiske","N/A","N/A","N/A","N/A","N/A"
"ANTHRO 157","3.6","Akhil Gupta","3.6","1.6","1.6","3.3","3.4"
"ANTHRO 157","3.6","Richard Lesure","3.7","1.8","1.8","3.0","3.5"
"ANTHRO 157","3.6","Amy Malek","N/A","N/A","N/A","N/A","N/A"
"ANTHRO 157","3.6","Sonya Pritzker","N/A","N/A","N/A","N/A","N/A"
"ANTHRO 157","3.6","Ellen Sharp","N/A","N/A","N/A","N/A","N/A"
"ANTHRO M155Q","3.6","Sondra Hale","3.6","1.4","1.4","3.8","4.4"
