"course_id","similar_course_id","score"
"ENGL 153","ENGL 141","0.10271661045883525"
"CHICANO M146","SPAN M155A","0.98922380615586825"
"CHICANO M146","CHICANO 161","0.14642438466162871"
"CHICANO M146","SPAN 119","0.13143668500479663"
"CHICANO M146","CHICANO M159B","0.10481394796121589"
"HIST M182B","RELIGN M182B","0.94352292360060064"
"HIST M182B","HIST M181SL","0.219574954516189"
"HIST M182B","JEWISH M181SL","0.11880648196046159"
"HIST M182B","HIST 105B","0.11266006886504389"
"HIST M182B","HIST 105A","0.11266006886504389"
"CHICANO 177","CHICANO 161","0.12448613695519706"
"CHICANO 177","ASIA AM 187B","0.11264453836813099"
"CHICANO 177","CHICANO M159B","0.10803310876818223"
"JAPAN 101B","JAPAN 105B","0.21847219869390369"
"JAPAN 101B","JAPAN CM160","0.10870457845203325"
"CHICANO 100SL","CIVIC 133SL","0.10662715321102713"
"COM SCI 174A","COM SCI 172","0.18455942239144263"
"CHEM C126A","CHEM C113B","0.16917696439619237"
"LING 165C","LING 110G","0.15513409094854747"
"LING 165B","LING M177","0.12457063053350148"
"LING 165B","LING 110G","0.12269046569726745"
"NURSING 171","COM HLT 100","0.3155088124221363"
"NURSING 171","ARTS ED 101","0.11555463132071543"
"NURSING 171","COM HLT 187A","0.1154947937200367"
"AN N EA C177","ART HIS C114D","0.78929891461171675"
"AN N EA C177","M E STD 177","0.147512665497254"
"AN N EA C177","IRANIAN 187","0.14095546377433144"
"LBR&WS M119","ASIA AM 187C","0.21818091718630336"
"LBR&WS M119","CHICANO 153","0.12718673115698775"
"LBR&WS M119","ASIA AM 167","0.1217173344045544"
"LBR&WS M119","ASIA AM 103","0.12052269658480934"
"LBR&WS M119","ASIA AM 187B","0.11942161319114322"
"POL SCI 10","POL SCI 50","0.14742452417521562"
"POL SCI 10","POL SCI 6","0.13357709968738915"
"STATS 20","COMPTNG 10A","0.11129294677952684"
"PORTGSE 11A","PORTGSE 2","0.51992635771901252"
"PORTGSE 11A","SPAN 11A","0.2010381730555095"
"POL SCI 19","SOCIOL 19","0.39611968637996114"
"POL SCI 19","WL ARTS 19","0.18898767468738736"
"POL SCI 19","COMM ST 19","0.15360094517100506"
"POL SCI 19","HNRS 19","0.1418622550564608"
"POL SCI 19","ECON 19","0.13583862114856932"
"POL SCI 19","ANTHRO 19","0.12474406497604472"
"PUB HLT M106","COM HLT 100","0.12369604914064253"
