"class_id","lecture_id","class_type","section","course_id","title","major","major_code","term","days","start_time","end_time","location","instructor","url"
"190791201","190791200","LAB","1A","EL ENGR 183DA","Design of Specialized Digital Hardware I","Electrical Engineering","EL ENGR","17W","Tuesday, Thursday","2pm","3:50pm","Boelter Hall Room 5280","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=EL+ENGR&crs_catlg_no=0183DA&class_id=190791201&class_no=%20001"
"594015201","594015200","DIS","1A","EL ENGR 205A","Matrix Analysis for Scientists and Engineers","Electrical Engineering","EL ENGR","17W","Friday","2pm","2:50pm","Dodd Hall Room 161","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=EL+ENGR&crs_catlg_no=0205A&class_id=594015201&class_no=%20001"
"594050201","594050200","LAB","1A","EL ENGR M214A","Digital Speech Processing","Electrical Engineering","EL ENGR","17W","","To be arranged","To be arranged","","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=EL+ENGR&crs_catlg_no=0214A+M&class_id=594050201&class_no=%20001"
"594212201","594212200","DIS","1A","EL ENGR 236B","Convex Optimization","Electrical Engineering","EL ENGR","17W","Friday","3pm","3:50pm","Boelter Hall Room 3400","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=EL+ENGR&crs_catlg_no=0236B&class_id=594212201&class_no=%20001"
"186289201","186289200","LAB","1A","ENGR 96C","Introduction to Engineering Design: Internet of Things","Engineering","ENGR","17W","Friday","10am","10:50am","Engineering IV Room 44110","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=ENGR&crs_catlg_no=0096C&class_id=186289201&class_no=%20001"
"186289202","186289200","LAB","1B","ENGR 96C","Introduction to Engineering Design: Internet of Things","Engineering","ENGR","17W","Friday","11am","11:50am","Engineering IV Room 44110","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=ENGR&crs_catlg_no=0096C&class_id=186289202&class_no=%20001"
"186289203","186289200","LAB","1C","ENGR 96C","Introduction to Engineering Design: Internet of Things","Engineering","ENGR","17W","Friday","1pm","1:50pm","Engineering IV Room 44110","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=ENGR&crs_catlg_no=0096C&class_id=186289203&class_no=%20001"
"186289204","186289200","LAB","1D","ENGR 96C","Introduction to Engineering Design: Internet of Things","Engineering","ENGR","17W","Friday","2pm","2:50pm","Engineering IV Room 44110","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=ENGR&crs_catlg_no=0096C&class_id=186289204&class_no=%20001"
"186367201","186367200","DIS","1A","ENGR 111","Introduction to Finance and Marketing for Engineers","Engineering","ENGR","17W","Friday","9am","9:50am","Boelter Hall Room 2444","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=ENGR&crs_catlg_no=0111&class_id=186367201&class_no=%20001"
"186367202","186367200","DIS","1B","ENGR 111","Introduction to Finance and Marketing for Engineers","Engineering","ENGR","17W","Friday","10am","10:50am","Royce Hall Room 156","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=ENGR&crs_catlg_no=0111&class_id=186367202&class_no=%20001"
"186367203","186367200","DIS","1C","ENGR 111","Introduction to Finance and Marketing for Engineers","Engineering","ENGR","17W","Friday","11am","11:50am","Boelter Hall Room 5420","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=ENGR&crs_catlg_no=0111&class_id=186367203&class_no=%20001"
"186367204","186367200","DIS","1D","ENGR 111","Introduction to Finance and Marketing for Engineers","Engineering","ENGR","17W","Friday","1pm","1:50pm","Boelter Hall Room 5420","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=ENGR&crs_catlg_no=0111&class_id=186367204&class_no=%20001"
"186367205","186367200","DIS","1E","ENGR 111","Introduction to Finance and Marketing for Engineers","Engineering","ENGR","17W","Friday","2pm","2:50pm","Boelter Hall Room 5420","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=ENGR&crs_catlg_no=0111&class_id=186367205&class_no=%20001"
"186367206","186367200","DIS","1F","ENGR 111","Introduction to Finance and Marketing for Engineers","Engineering","ENGR","17W","Friday","3pm","3:50pm","Boelter Hall Room 5420","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=ENGR&crs_catlg_no=0111&class_id=186367206&class_no=%20001"
"186377201","186377200","DIS","1A","ENGR 112","Laboratory to Market, Entrepreneurship for Engineers","Engineering","ENGR","17W","Friday","9am","9:50am","Boelter Hall Room 5422","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=ENGR&crs_catlg_no=0112&class_id=186377201&class_no=%20001"
"186377202","186377200","DIS","1B","ENGR 112","Laboratory to Market, Entrepreneurship for Engineers","Engineering","ENGR","17W","Friday","10am","10:50am","Boelter Hall Room 5422","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=ENGR&crs_catlg_no=0112&class_id=186377202&class_no=%20001"
"186377203","186377200","DIS","1C","ENGR 112","Laboratory to Market, Entrepreneurship for Engineers","Engineering","ENGR","17W","Friday","11am","11:50am","Boelter Hall Room 5422","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=ENGR&crs_catlg_no=0112&class_id=186377203&class_no=%20001"
"186377204","186377200","DIS","1D","ENGR 112","Laboratory to Market, Entrepreneurship for Engineers","Engineering","ENGR","17W","Friday","1pm","1:50pm","Boelter Hall Room 5422","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=ENGR&crs_catlg_no=0112&class_id=186377204&class_no=%20001"
"186377205","186377200","DIS","1E","ENGR 112","Laboratory to Market, Entrepreneurship for Engineers","Engineering","ENGR","17W","Friday","2pm","2:50pm","Boelter Hall Room 5422","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=ENGR&crs_catlg_no=0112&class_id=186377205&class_no=%20001"
"186377206","186377200","DIS","1F","ENGR 112","Laboratory to Market, Entrepreneurship for Engineers","Engineering","ENGR","17W","Friday","3pm","3:50pm","Boelter Hall Room 5422","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=ENGR&crs_catlg_no=0112&class_id=186377206&class_no=%20001"
"186378201","186378200","DIS","1A","ENGR 113","Product Strategy","Engineering","ENGR","17W","Thursday","6pm","6:50pm","Boelter Hall Room 5436","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=ENGR&crs_catlg_no=0113&class_id=186378201&class_no=%20001"
"186799201","186799200","DIS","1A","ENGR 183EW","Engineering and Society","Engineering","ENGR","17W","Tuesday","10am","12:50pm","Boelter Hall Room 5252","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=ENGR&crs_catlg_no=0183EW&class_id=186799201&class_no=%20001"
"186799202","186799200","DIS","1B","ENGR 183EW","Engineering and Society","Engineering","ENGR","17W","Wednesday","10am","12:50pm","Boelter Hall Room 5280","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=ENGR&crs_catlg_no=0183EW&class_id=186799202&class_no=%20001"
"186799203","186799200","DIS","1C","ENGR 183EW","Engineering and Society","Engineering","ENGR","17W","Thursday","10am","12:50pm","Boelter Hall Room 5252","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=ENGR&crs_catlg_no=0183EW&class_id=186799203&class_no=%20001"
